topic	group_id	source_file	physical_pages	source_task	objective	classification	conceptual_first
1	T01-A01	statistik1_uebungsblatt2.pdf	2	Aufgabe 3	Decide whether an arithmetic mean is meaningful from the scale and meaning of a variable.	theory	false
1	T01-A02	statistik1_uebungsblatt3.pdf	1	Aufgabe 1	Classify variables by measurement level, including numeric identifiers that are labels rather than quantities.	theory	false
1	T01-A03	statistik1_uebungsblatt3.pdf	1	Aufgabe 2	Choose defensible measures of center for variables with different measurement levels and distributions.	theory	false
1	T01-A04	statistik1_uebungsblatt3.pdf	2	Aufgabe 3	Calculate and compare the effect of an extreme value on the mean.	calculator	false
1	T01-A05	statistik1_uebungsblatt3.pdf	2	Aufgabe 4	Sort two groups, calculate their medians, and interpret the comparison.	calculator	false
1	T01-A06	statistik1_uebungsblatt3.pdf	2	Aufgabe 5	Calculate mean and median, recover a missing value from a known mean, and examine outlier sensitivity.	calculator	true
1	T01-A07	statistik1_uebungsblatt4.pdf	1	Aufgabe 1	Calculate a pooled median and explain how replacements at different ranks affect it.	calculator	true
1	T01-A08	statistik1_uebungsblatt4.pdf	1	Aufgabe 2	Calculate mean, mode, corrected sample variance, sample standard deviation, and range.	calculator	false
1	T01-A09	statistik1_uebungsblatt4.pdf	1	Aufgabe 3	Show why equal means do not imply comparable distributions by comparing spread and shape.	mixed	true
1	T01-A10	statistik1_uebungsblatt4.pdf	1	Aufgabe 4	Apply a linear transformation to a mean, variance, and standard deviation.	calculator	false
1	T01-A11	statistik1_uebungsblatt4.pdf	2	Aufgabe 5	Standardize observations with z scores and verify the transformed mean and standard deviation.	calculator	false
1	T01-A12	statistik1_uebungsblatt5.pdf	1	Aufgabe 1	Compare alternative graphical presentations of the same data and separate numerical change from visual impression.	theory	false
1	T01-A13	statistik1_uebungsblatt5.pdf	1	Aufgabe 2	Diagnose graphical choices that exaggerate a trend and specify a defensible repair.	theory	false
1	T01-A14	statistik1_uebungsblatt5.pdf	1	Aufgabe 3	Construct and jointly interpret a histogram and boxplot.	calculator	true
1	T01-A15	statistik1_uebungsblatt5.pdf	2	Aufgabe 4	Construct histograms with different bin widths or origins and compare the resulting shapes.	calculator	true
2	T02-A01	statistik1_uebungsblatt6.pdf	1	Aufgabe 1	Use sequential conditional multiplication for success through several stages and failure at the final stage.	calculator	true
2	T02-A02	statistik1_uebungsblatt7.pdf	1	Aufgabe 1	Calculate joint probabilities for independent events.	calculator	true
2	T02-A03	statistik1_uebungsblatt7.pdf	1	Aufgabe 2	Use a two-way table to examine conditional probabilities, joint probability, independence, and disjointness.	mixed	true
2	T02-A04	statistik1_uebungsblatt8.pdf	1	Aufgabe 1	Apply Bayes' theorem under changing prevalence and explain the base-rate effect.	mixed	true
2	T02-A05	statistik1_uebungsblatt8.pdf	1	Aufgabe 2	Calculate expectation and variance and represent a discrete distribution with its PMF and CDF.	calculator	false
2	T02-A06	statistik1_uebungsblatt8.pdf	1	Aufgabe 3	Calculate exact binomial probabilities and check the model conditions.	calculator	true
2	T02-A07	statistik1_uebungsblatt8.pdf	1	Aufgabe 4	Calculate an upper binomial tail efficiently through its complement.	calculator	true
2	T02-A08	statistik1_uebungsblatt9.pdf	1	Aufgabe 1	Distinguish a discrete probability mass function from a continuous density.	theory	false
2	T02-A09	statistik1_uebungsblatt9.pdf	1	Aufgabe 2	Calculate lower-tail, upper-tail, and interval probabilities under the standard normal model.	calculator	false
2	T02-A10	statistik1_uebungsblatt9.pdf	1	Aufgabe 3	Standardize a nonstandard normal variable and calculate probabilities.	calculator	false
2	T02-A11	statistik1_uebungsblatt9.pdf	1	Aufgabe 4	Find inverse standard-normal quantiles from cumulative probabilities.	calculator	false
2	T02-A12	statistik1_uebungsblatt9.pdf	1-2	Aufgabe 5	Calculate the mean and standard error of a sampling distribution and explain how variance and sample size affect precision.	mixed	true
2	T02-A13	statistik1_uebungsblatt10.pdf	1	Aufgabe 1	Calculate interval probabilities under a general normal model by standardizing both boundaries.	calculator	false
2	T02-A14	statistik1_uebungsblatt10.pdf	1	Aufgabe 2	Distinguish population, sampling frame, achieved sample, parameter, and statistic and diagnose selection and nonresponse bias.	theory	false
2	T02-A15	statistik1_uebungsblatt2.pdf	1	Aufgabe 1, case 2	Diagnose coverage error in a broad percentage claim based on a restricted profile frame.	theory	false
2	T02-A16	statistik1_uebungsblatt2.pdf	2	Aufgabe 2	Diagnose survivorship bias by identifying observable cases and outcome-dependent missing cases.	theory	false
